designerCode,beforeWord,suggestedAfterWord,customId,confidence
"413660","Beautiful People","","bcm499","needs_manual_review"
"538555","Becksöndergaard","","bcm499","needs_manual_review"
"3914446","Begüm Khan","","bcm499","needs_manual_review"
"140045571","BELAMER","","bcm499","needs_manual_review"
"3539485","Bell & Ross","","bcm499","needs_manual_review"
"151515568","BELLE ANNA","","bcm499","needs_manual_review"
"1476245","Belle Et Bon Bon","","bcm499","needs_manual_review"
"116888","Benedetta Bruzziches","","bcm499","needs_manual_review"
"11363217","Benetton","","bcm499","needs_manual_review"
"155832082","BERGÈRE","","bcm499","needs_manual_review"
"610897","Bergfabel","","bcm499","needs_manual_review"
"120146262","Berkel","","bcm499","needs_manual_review"
"9955769","Bernadette","","bcm499","needs_manual_review"
"206665","Betta Corradi","","bcm499","needs_manual_review"
"123615141","Better Gift Shop","","bcm499","needs_manual_review"
"34292032","BETTINA VERMILLON","","bcm499","needs_manual_review"
"98795123","BETTTER","","bcm499","needs_manual_review"
"127905199","BETTY & CO","","bcm499","needs_manual_review"
"1248603","Bevza","","bcm499","needs_manual_review"
"31181501","BeYou","","bcm499","needs_manual_review"
"12832966","Bialetti","","bcm499","needs_manual_review"
"108349316","Bibi Lou","","bcm499","needs_manual_review"
"3468960","Bibi van der Velden","","bcm499","needs_manual_review"
"156309009","BIKINVILLE","","bcm499","needs_manual_review"
"121967039","Billabong","","bcm499","needs_manual_review"
"119937416","BILLI BI","","bcm499","needs_manual_review"
"32039230","Bimba y Lola","","bcm499","needs_manual_review"
"286598","Birkenstock","","bcm499","needs_manual_review"
"134969869","BIRKENSTOCK 1774","","bcm499","needs_manual_review"
"49134493","BITE Studios","","bcm499","needs_manual_review"
"12270615","Bitossi Home","","bcm499","needs_manual_review"
"4048930","Black Comme Des Garçons","","bcm499","needs_manual_review"
"3859145","Black Crane","","bcm499","needs_manual_review"
"126061815","Black Label","","bcm499","needs_manual_review"
"78756482","BLACK SUEDE STUDIO","","bcm499","needs_manual_review"
"218640","Blanca Vita","","bcm499","needs_manual_review"
"154813","Blancha","","bcm499","needs_manual_review"
"3846202","Blancpain","","bcm499","needs_manual_review"
"5862561","Blauer","","bcm499","needs_manual_review"
"3773521","Blazé Milano","","bcm499","needs_manual_review"
"908","Bless","","bcm499","needs_manual_review"
"14590820","Bleue Burnham","","bcm499","needs_manual_review"
"29277385","Bloc Studios","","bcm499","needs_manual_review"
"68871","Blugirl","","bcm499","needs_manual_review"
"343405","Blumarine","","bcm499","needs_manual_review"
"202343","Blumarine Vintage","","bcm499","needs_manual_review"
"194073","Blundstone","","bcm499","needs_manual_review"
"141809851","Blunt","","bcm499","needs_manual_review"
"18530383","BMW","","bcm499","needs_manual_review"
"145374758","BMW Eyewear","","bcm499","needs_manual_review"
"10901","Boboutic","","bcm499","needs_manual_review"
"8350357","BODE","","bcm499","needs_manual_review"
"122903524","Bogart","","bcm499","needs_manual_review"
"6929","Boglioli","","bcm499","needs_manual_review"
"3799620","BOGNER","","bcm499","needs_manual_review"
"31285472","BOGNER FIRE+ICE","","bcm499","needs_manual_review"
"124615142","BOHONOMAD","","bcm499","needs_manual_review"
"118480297","Boiler Room","","bcm499","needs_manual_review"
"132548166","bomboogie","","bcm499","needs_manual_review"
"15078466","BOMPARD","","bcm499","needs_manual_review"
"233599","Bonastre","","bcm499","needs_manual_review"
"54527784","Bond-eye","","bcm499","needs_manual_review"
"125599280","BONGUSTA","","bcm499","needs_manual_review"
"124615540","BONHEUR","","bcm499","needs_manual_review"
"123533349","BONNE MAISON","","bcm499","needs_manual_review"
"7234143","Bonpoint","","bcm499","needs_manual_review"
"118582954","Borbonese","","bcm499","needs_manual_review"
"28699240","Bordallo Pinheiro","","bcm499","needs_manual_review"
"1078172","Bordelle","","bcm499","needs_manual_review"
"214168","Borgo Delle Tovaglie","","bcm499","needs_manual_review"
"306529","Borsalino","","bcm499","needs_manual_review"
"219346","Borsalino Vintage","","bcm499","needs_manual_review"
"13504184","Bosa","","bcm499","needs_manual_review"
"109995","Bosabo","","bcm499","needs_manual_review"
"12080417","BOSS","","bcm499","needs_manual_review"
"124963076","Botsi","","bcm499","needs_manual_review"
"128656","Bottega Veneta Pre-Owned","보테가 베네타 프리오운드","bcm499","reviewed_or_rule_based"
"6486578","Botter","","bcm499","needs_manual_review"
"161205","Botto Giuseppe","","bcm499","needs_manual_review"
"8414096","Boucheron Eyewear","","bcm499","needs_manual_review"
"17086625","Boucheron Pre-Owned","","bcm499","needs_manual_review"
"12723430","BOUND","","bcm499","needs_manual_review"
"55033","Boutique Moschino","","bcm499","needs_manual_review"
"553070","Boysloft","","bcm499","needs_manual_review"
"148834272","BOZART","","bcm499","needs_manual_review"
"12322967","brador","","bcm499","needs_manual_review"
"3525333","Brain Dead","","bcm499","needs_manual_review"
"3004954","Brandon Maxwell","","bcm499","needs_manual_review"
"3846207","Breguet","","bcm499","needs_manual_review"
"4399754","Briglia 1949","","bcm499","needs_manual_review"
"101511","Brioni","","bcm499","needs_manual_review"
"2241319","Briston","","bcm499","needs_manual_review"
"127064692","BROKEN PLANET","","bcm499","needs_manual_review"
"182717","Bronte","","bcm499","needs_manual_review"
"3536927","Brooke Gregson","","bcm499","needs_manual_review"
"49889130","BROOKS","","bcm499","needs_manual_review"
"90739","Brunello Cucinelli","브루넬로 쿠치넬리","bcm499","reviewed_or_rule_based"
"516548","Brunello Cucinelli Vintage","브루넬로 쿠치넬리 빈티지","bcm499","reviewed_or_rule_based"
"6270","Bruuns Bazaar","","bcm499","needs_manual_review"
"10902180","Buccellati","","bcm499","needs_manual_review"
"6147668","Buffalo","","bcm499","needs_manual_review"
"769627","Burberry","버버리","bcm499","reviewed_or_rule_based"
"8822582","Burberry Eyewear","버버리 아이웨어","bcm499","reviewed_or_rule_based"
"134637","Burberry Pre-Owned","버버리 프리오운드","bcm499","reviewed_or_rule_based"
"1280229","Buscemi","","bcm499","needs_manual_review"
"1116834","Butler & Wilson Vintage","","bcm499","needs_manual_review"
"9491","Buttero","","bcm499","needs_manual_review"
"650994","Bvlgari","","bcm499","needs_manual_review"
"1741833","Bvlgari Pre-Owned","","bcm499","needs_manual_review"
"7553889","BY FAR","","bcm499","needs_manual_review"
"119425099","By Gabs","","bcm499","needs_manual_review"
"28041","By Malene Birger","","bcm499","needs_manual_review"
"13037185","By Pariah","","bcm499","needs_manual_review"
"11502089","byblos","","bcm499","needs_manual_review"
"6893111","BYBORRE","","bcm499","needs_manual_review"
"67242","C.P. Company","","bcm499","needs_manual_review"
"15165388","C.P. Company Pre-Owned","","bcm499","needs_manual_review"
"112333544","C'era Fragrance","","bcm499","needs_manual_review"
"17604664","Cabana","","bcm499","needs_manual_review"
"124443677","Cadette","","bcm499","needs_manual_review"
"82458885","CAFÉ KITSUNÉ","","bcm499","needs_manual_review"
"11232196","Cafuné","","bcm499","needs_manual_review"
"136255330","Caha Capo Dubai","","bcm499","needs_manual_review"
"38803596","Cala de la Cruz","","bcm499","needs_manual_review"
"12323707","Caliban","","bcm499","needs_manual_review"
"121046755","CALIDA","","bcm499","needs_manual_review"
"123770","Calleen Cordero","","bcm499","needs_manual_review"
"146501981","Calma House","","bcm499","needs_manual_review"
"3977820","Calvin Klein","","bcm499","needs_manual_review"
"122248008","CALVIN KLEIN COLLECTION","","bcm499","needs_manual_review"
"5589921","Calvin Klein Jeans","","bcm499","needs_manual_review"
"825223","Calvin Klein Underwear","","bcm499","needs_manual_review"
"4988092","Cambio","","bcm499","needs_manual_review"
"34293403","Cameo & Beyond","","bcm499","needs_manual_review"
"262164","Camilla","","bcm499","needs_manual_review"
"6864","Camper","","bcm499","needs_manual_review"
"6417092","CamperLab","","bcm499","needs_manual_review"
"224588","Campomaggi","","bcm499","needs_manual_review"
"190721","Canada Goose","캐나다구스","bcm499","reviewed_or_rule_based"
"89285516","Cander","","bcm499","needs_manual_review"
"586762","Candice Cooper","","bcm499","needs_manual_review"
"16744881","CandleHand","","bcm499","needs_manual_review"
"143727031","CANDYSLAB","","bcm499","needs_manual_review"
"10502519","Canessa","","bcm499","needs_manual_review"
"137756873","Capote","","bcm499","needs_manual_review"
"17805537","Cappellini","","bcm499","needs_manual_review"
"17177762","Capsule Eleven","","bcm499","needs_manual_review"
"21433","Car Shoe","","bcm499","needs_manual_review"
"15436012","Cara Cara","","bcm499","needs_manual_review"
"12077714","Caran d'Ache","","bcm499","needs_manual_review"
"5862150","Caravana","","bcm499","needs_manual_review"
"58935977","Carel Paris","","bcm499","needs_manual_review"
"10845712","Carhartt WIP","","bcm499","needs_manual_review"
"4009605","Carine Gilson","","bcm499","needs_manual_review"
"9086503","Carlo Moretti","","bcm499","needs_manual_review"
"12235199","CARNE BOLLENTE","","bcm499","needs_manual_review"
"319577","Carolina Herrera","","bcm499","needs_manual_review"
"1036266","Caroline Constas","","bcm499","needs_manual_review"
"124442008","Carolyne Roehm","","bcm499","needs_manual_review"
"12365031","CARRANO","","bcm499","needs_manual_review"
"117567009","Carrer","","bcm499","needs_manual_review"
"28725","Carrera","","bcm499","needs_manual_review"
"120150","Cartier","까르띠에","bcm499","reviewed_or_rule_based"
"11508550","Cartier Eyewear","까르띠에 아이웨어","bcm499","reviewed_or_rule_based"
"37722","Carven","","bcm499","needs_manual_review"
"50671","Carven Vintage","","bcm499","needs_manual_review"
"146502966","Casa Lopez","","bcm499","needs_manual_review"
"8603887","Casablanca","카사블랑카","bcm499","reviewed_or_rule_based"
"5190","Casadei","","bcm499","needs_manual_review"
"876185","Casey Casey","","bcm499","needs_manual_review"
"1022684","Cashmere In Love","","bcm499","needs_manual_review"
"27700797","Cassina","","bcm499","needs_manual_review"
"5755","Castañer","","bcm499","needs_manual_review"
"145918134","Catalina","","bcm499","needs_manual_review"
"13641981","catarzi","","bcm499","needs_manual_review"
"1058981","Caterina Lucchi","","bcm499","needs_manual_review"
"12355668","caterpillar","","bcm499","needs_manual_review"
"72746","Catherine Michiels","","bcm499","needs_manual_review"
